actor,country,director,image_link,link,people,rank,score,title,typ,words,year
蒂姆·罗宾斯 Tim Robbins /..., 美国 ,弗兰克·德拉邦特 Frank Darabont,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/,1229537人评价,1,9.6,"肖申克的救赎, / The Shawshank Redemption, / 月黑高飞(港)  /  刺激1995(台)", 犯罪 剧情,希望让人自由。,1994 
张国荣 Leslie Cheung / 张丰毅 Fengyi Zha..., 中国大陆 香港 ,陈凯歌 Kaige Chen,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,https://movie.douban.com/subject/1291546/,905093人评价,2,9.6,"霸王别姬, / 再见，我的妾  /  Farewell My Concubine", 剧情 爱情 同性,风华绝代。,1993 
让·雷诺 Jean Reno / 娜塔莉·波特曼 ..., 法国 ,吕克·贝松 Luc Besson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/,1130701人评价,3,9.4,"这个杀手不太冷, / Léon, / 杀手莱昂  /  终极追杀令(台)", 剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,1994 
Tom Hanks / Robin Wright Penn / Gary Sinise, 美国 ,Robert Zemeckis,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,https://movie.douban.com/subject/1292720/,969496人评价,4,9.4,"阿甘正传, / Forrest Gump, / 福雷斯特·冈普", 剧情 爱情,一部美国近现代史。,1994 
罗伯托·贝尼尼 Roberto Beni..., 意大利 ,罗伯托·贝尼尼 Roberto Benigni,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,https://movie.douban.com/subject/1292063/,566483人评价,5,9.5,"美丽人生, / La vita è bella, / 一个快乐的传说(港)  /  Life Is Beautiful", 剧情 喜剧 爱情 战争,最美的谎言。,1997 
莱昂纳多·迪卡普里奥 Leonardo..., 美国 ,詹姆斯·卡梅隆 James Cameron,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/,905215人评价,6,9.3,"泰坦尼克号, / Titanic, / 铁达尼号(港 / 台)", 剧情 爱情 灾难,失去的才是永恒的。 ,1997 
柊瑠美 Rumi Hîragi / 入野自由 Miy..., 日本 ,宫崎骏 Hayao Miyazaki,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,https://movie.douban.com/subject/1291561/,897736人评价,7,9.3,"千与千寻, / 千と千尋の神隠し, / 神隐少女(台)  /  Spirited Away", 剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,2001 
连姆·尼森 Liam Neeson..., 美国 ,史蒂文·斯皮尔伯格 Steven Spielberg,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,https://movie.douban.com/subject/1295124/,508905人评价,8,9.5,"辛德勒的名单, / Schindler's List, / 舒特拉的名单(港)  /  辛德勒名单", 剧情 历史 战争,拯救一个人，就是拯救整个世界。,1993 
莱昂纳多·迪卡普里奥 Le..., 美国 英国 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/,984456人评价,9,9.3,"盗梦空间, / Inception, / 潜行凶间(港)  /  全面启动(台)", 剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,2010 
本·贝尔特 Ben Burtt / 艾丽..., 美国 ,安德鲁·斯坦顿 Andrew Stanton,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/,653386人评价,10,9.3,"机器人总动员, / WALL·E, / 瓦力(台)  /  太空奇兵·威E(港)", 爱情 科幻 动画 冒险,小瓦力，大人生。,2008 
